Date,Time (GMT),Water Temp (ºF),Wind Speed (kn),Air Temp (ºF),Baro (mb),Humidity (%)
2022-11-10,0:00,65.8,9.33,42,14.38,65.1
2022-11-10,1:00,65.8,8.36,53,12.63,66.2
2022-11-10,2:00,65.8,8.55,35,12.83,66
2022-11-10,3:00,65.8,7.78,55,10.5,66.4
2022-11-10,4:00,65.8,8.36,72,11.47,67.1
2022-11-10,5:00,65.8,8.75,70,12.44,67.5
2022-11-10,6:00,65.8,8.94,75,12.05,67.8
2022-11-10,7:00,65.8,7.78,87,11.27,68.2
2022-11-10,8:00,66,8.55,82,13.22,68.5
2022-11-10,9:00,66,8.75,90,12.83,68.7
2022-11-10,10:00,65.8,7.97,91,12.44,68.7
2022-11-10,11:00,65.8,10.11,88,14,68.9
2022-11-10,12:00,65.8,8.75,115,11.47,68.4
2022-11-10,13:00,65.8,7.39,89,11.66,69.4
2022-11-10,14:00,65.8,8.55,84,13.22,70.9
2022-11-10,15:00,65.8,7.78,95,11.66,70.5
2022-11-10,16:00,65.8,8.36,103,12.44,70.9
2022-11-10,17:00,65.8,13.22,101,19.24,71.1
2022-11-10,18:00,65.8,10.5,109,16.33,71.8
2022-11-10,19:00,66,7.78,101,13.61,70.9
2022-11-10,20:00,66,10.3,114,13.61,69.4
2022-11-10,21:00,66,10.3,100,15.55,70.7
2022-11-10,22:00,66.2,11.86,117,16.72,70.7
2022-11-10,23:00,66.2,13.02,117,18.27,71.1
2022-11-11,0:00,66.2,8.75,114,14.19,70.3
2022-11-11,1:00,66.2,10.11,114,15.75,70.7
2022-11-11,2:00,66.2,11.27,119,16.72,70.9
2022-11-11,3:00,66.4,12.63,119,15.94,70.5
2022-11-11,4:00,66.4,13.02,124,15.75,71.1
2022-11-11,5:00,66.4,12.83,130,17.49,70.5
