Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
7/16/2022,14:05:41,0.0,<None>,60362.5,0.286,56573.5,85.2,84.8,5.39,0.347,37.81,56943.8,37013,6.14,0,8.40,-197.2,28.143,0.290,34.20412,-77.79978,-14.4,5.11,12.1,765.3
7/16/2022,14:05:42,0.0,<None>,60358.0,0.286,56572.3,85.2,84.8,5.39,0.347,37.81,56942.2,37012,6.16,0,8.40,-197.2,28.141,0.303,34.20411,-77.79977,-11.3,5.11,12.1,765.2
7/16/2022,14:05:43,0.0,<None>,60353.6,0.287,56571.3,85.1,84.7,5.39,0.348,37.81,56940.9,37012,6.16,0,8.40,-197.2,28.138,0.286,34.20411,-77.79974,-8.0,5.11,12.1,765.3
7/16/2022,14:05:44,0.0,<None>,60349.2,0.287,56571.1,85.1,84.7,5.38,0.347,37.81,56940.2,37011,6.17,0,8.40,-197.2,28.135,0.288,34.20412,-77.79974,-10.9,5.11,12.1,765.2
7/16/2022,14:05:45,0.0,<None>,60345.0,0.287,56570.5,85.0,84.6,5.38,0.349,37.81,56939.3,37011,6.18,0,8.40,-197.2,28.131,0.311,34.20414,-77.79976,-12.7,5.11,12.1,765.4
7/16/2022,14:05:46,0.0,<None>,60341.1,0.288,56570.3,85.0,84.6,5.38,0.349,37.81,56938.7,37010,6.17,0,8.40,-197.1,28.128,0.294,34.20415,-77.79975,-12.9,5.11,12.1,765.4
7/16/2022,14:05:47,0.0,<None>,60336.7,0.288,56569.4,84.9,84.5,5.37,0.350,37.80,56937.4,37009,6.20,0,8.40,-197.1,28.126,0.310,34.20415,-77.79974,-11.8,5.11,12.1,765.3
7/16/2022,14:05:48,0.0,<None>,60333.7,0.288,56569.8,84.8,84.5,5.37,0.349,37.81,56937.5,37009,6.22,0,8.40,-197.1,28.123,0.291,34.20415,-77.79973,-11.8,5.11,12.1,765.2
7/16/2022,14:05:49,0.0,<None>,60332.3,0.289,56570.6,84.8,84.4,5.37,0.351,37.81,56938.1,37010,6.27,0,8.40,-197.1,28.121,0.300,34.20417,-77.79973,-11.2,5.11,12.1,765.4
7/16/2022,14:05:50,0.0,<None>,60331.2,0.290,56572.0,84.7,84.3,5.36,0.353,37.81,56939.2,37010,6.33,0,8.40,-197.1,28.119,0.318,34.20418,-77.79973,-11.6,5.11,12.1,765.3
7/16/2022,14:05:51,0.0,<None>,60331.6,0.290,56573.7,84.7,84.3,5.36,0.352,37.81,56940.7,37011,6.35,0,8.40,-197.1,28.118,0.311,34.20419,-77.79973,-11.6,5.11,12.1,765.2
7/16/2022,14:05:52,0.0,<None>,60330.7,0.291,56574.1,84.6,84.3,5.36,0.353,37.81,56941.1,37012,6.41,0,8.40,-197.1,28.117,0.266,34.20420,-77.79973,-11.8,5.11,12.1,765.3
7/16/2022,14:05:53,0.0,<None>,60329.5,0.291,56574.9,84.6,84.2,5.36,0.354,37.81,56941.6,37012,6.50,0,8.40,-197.1,28.115,0.318,34.20421,-77.79973,-10.6,5.11,12.1,765.4
7/16/2022,14:05:54,0.0,<None>,60328.3,0.292,56574.6,84.6,84.2,5.35,0.355,37.81,56941.2,37012,6.52,0,8.40,-197.1,28.114,0.317,34.20422,-77.79972,-10.6,5.11,12.1,765.4
7/16/2022,14:05:55,0.0,<None>,60323.6,0.291,56571.6,84.6,84.2,5.35,0.354,37.81,56938.0,37010,6.59,0,8.40,-197.0,28.113,0.245,34.20422,-77.79972,-9.7,5.11,12.1,765.4
7/16/2022,14:05:56,0.0,<None>,60313.6,0.292,56563.6,84.5,84.1,5.35,0.355,37.80,56929.8,37004,6.62,0,8.40,-197.0,28.112,0.323,34.20424,-77.79972,-10.0,5.11,12.1,765.4
7/16/2022,14:05:57,0.0,<None>,60306.8,0.291,56558.3,84.5,84.1,5.35,0.354,37.80,56924.4,37001,6.66,0,8.40,-196.9,28.111,0.262,34.20424,-77.79973,-10.0,5.11,12.1,765.3
7/16/2022,14:05:58,0.0,<None>,60297.6,0.293,56551.1,84.4,84.0,5.34,0.357,37.79,56917.0,36996,6.69,0,8.40,-196.9,28.110,0.322,34.20425,-77.79974,-10.7,5.11,12.1,765.3
7/16/2022,14:05:59,0.0,<None>,60286.4,0.293,56541.7,84.3,83.9,5.34,0.357,37.78,56907.4,36990,6.75,0,8.40,-196.8,28.109,0.318,34.20425,-77.79974,-9.7,5.11,12.1,765.3
7/16/2022,14:06:00,0.0,<None>,60278.4,0.294,56535.0,84.3,83.9,5.34,0.358,37.78,56900.6,36985,6.80,0,8.40,-196.8,28.108,0.309,34.20426,-77.79974,-9.7,5.11,12.1,765.3
7/16/2022,14:06:01,0.0,<None>,60252.7,0.294,56511.6,84.2,83.8,5.33,0.358,37.76,56876.9,36970,6.83,0,8.39,-196.7,28.107,0.287,34.20426,-77.79974,-8.0,5.11,12.1,765.3
